,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
122532,546883,22524,CHILDRENS GARDEN GLOVES BLUE,10,17-03-2011 18:03,1.25,13707.0,United Kingdom
356400,568050,21739,COSY SLIPPER SHOES SMALL GREEN,1,23-09-2011 12:38,2.95,15901.0,United Kingdom
386094,570225,21833,CAMOUFLAGE LED TORCH,6,09-10-2011 13:15,1.69,16595.0,United Kingdom
84412,543391,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,08-02-2011 10:12,2.95,14475.0,United Kingdom
499231,578661,23188,VINTAGE  2 METRE FOLDING RULER,12,24-11-2011 16:46,1.65,18188.0,United Kingdom
42980,540026,10125,MINI FUNKY DESIGN TAPES,15,04-01-2011 13:25,0.81,,United Kingdom
321601,565152,21372,MIRRORED WALL ART TABLE LAMP,2,01-09-2011 14:42,0.75,17799.0,United Kingdom
156390,550137,22962,JAM JAR WITH PINK LID,12,14-04-2011 13:59,0.85,12477.0,Germany
491184,578067,22588,CARD HOLDER GINGHAM HEART,2,22-11-2011 15:43,5.79,,United Kingdom
248036,558777,22969,HOMEMADE JAM SCENTED CANDLES,1,04-07-2011 10:23,3.29,,United Kingdom
461332,575936,23351,ROLL WRAP 50'S CHRISTMAS,12,13-11-2011 11:21,1.25,17041.0,United Kingdom
253586,559163,22946,WOODEN ADVENT CALENDAR CREAM,1,06-07-2011 16:33,16.63,,United Kingdom
475828,576920,22178,VICTORIAN GLASS HANGING T-LIGHT,24,17-11-2011 10:49,1.95,13871.0,United Kingdom
363347,568565,23000,TRAVEL CARD WALLET TRANSPORT,1,27-09-2011 17:31,0.42,,United Kingdom
7137,536990,20658,RED RETROSPOT LUGGAGE TAG,12,03-12-2010 15:14,1.25,12793.0,Portugal
135196,547884,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,28-03-2011 09:07,1.95,13481.0,United Kingdom
516648,579940,23127,FELTCRAFT GIRL NICOLE KIT,4,01-12-2011 10:20,4.95,16938.0,United Kingdom
186848,552883,22131,FOOD CONTAINER SET 3 LOVE HEART ,72,12-05-2011 10:13,1.65,14646.0,Netherlands
481378,577358,22559,SEASIDE FLYING DISC,1,18-11-2011 15:59,2.46,,United Kingdom
398011,571216,21232,STRAWBERRY CERAMIC TRINKET BOX,1,14-10-2011 13:06,1.25,16081.0,United Kingdom
394759,570883,21731,RED TOADSTOOL LED NIGHT LIGHT,12,13-10-2011 09:55,1.65,13477.0,United Kingdom
259111,559689,22992,REVOLVER WOODEN RULER ,1,11-07-2011 15:46,1.95,,United Kingdom
507301,579173,21291,SMALL POLKADOT CHOCOLATE GIFT BAG ,16,28-11-2011 14:37,0.85,17359.0,United Kingdom
314939,564670,23156,SET OF 5 MINI GROCERY MAGNETS,12,26-08-2011 15:44,2.08,12683.0,France
541555,581501,22695,WICKER WREATH SMALL,24,09-12-2011 10:46,0.59,12985.0,United Kingdom
124209,546963,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,6,18-03-2011 11:39,2.55,16779.0,United Kingdom
115117,546107,22637,PIGGY BANK RETROSPOT ,1,09-03-2011 12:33,2.55,17238.0,United Kingdom
36085,539437,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,1,17-12-2010 14:54,2.51,,United Kingdom
318320,564835,22076,6 RIBBONS EMPIRE  ,1,30-08-2011 12:31,1.25,,United Kingdom
516968,580025,21872,GLAMOROUS  MUG,1,01-12-2011 11:53,1.25,15021.0,United Kingdom
255752,559364,20726,LUNCH BAG WOODLAND,10,08-07-2011 08:48,1.65,17735.0,United Kingdom
395462,571034,23117,POPPY FIELDS CHOPPING BOARD,3,13-10-2011 12:47,4.95,12359.0,Cyprus
140556,548412,82482,WOODEN PICTURE FRAME WHITE FINISH,36,31-03-2011 10:38,2.1,12601.0,Germany
278524,561214,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,3,25-07-2011 17:00,4.13,,United Kingdom
212578,555495,23199,JUMBO BAG APPLES,10,03-06-2011 14:42,2.08,17068.0,United Kingdom
534922,581175,23562,SET OF 6 RIBBONS PERFECTLY PRETTY  ,60,07-12-2011 15:16,2.49,14646.0,Netherlands
334962,566273,22151,PLACE SETTING WHITE HEART,24,11-09-2011 13:56,0.42,14720.0,United Kingdom
339467,566596,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,4,13-09-2011 15:18,3.29,14163.0,United Kingdom
290294,562371,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,04-08-2011 14:30,0.65,13709.0,United Kingdom
143632,548708,22982,PANTRY PASTRY BRUSH,4,03-04-2011 12:41,1.25,13269.0,United Kingdom
77034,542678,71496B,A4 WALL TIDY RED FLOWERS,4,31-01-2011 12:21,0.65,14688.0,United Kingdom
274815,560926,22269,EGG CUP NATURAL CHICKEN,3,22-07-2011 09:20,0.83,,United Kingdom
493332,578225,84912B,GREEN ROSE WASHBAG,4,23-11-2011 11:51,3.75,17700.0,United Kingdom
507482,579187,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,2,28-11-2011 15:31,3.29,,United Kingdom
398815,571257,22798,ANTIQUE GLASS DRESSING TABLE POT,1,14-10-2011 17:17,5.79,,United Kingdom
214446,555575,84988,SET OF 72 PINK HEART PAPER DOILIES,12,05-06-2011 15:47,1.45,14466.0,United Kingdom
458776,575851,85199S,SMALL HANGING IVORY/RED WOOD BIRD,2,11-11-2011 12:13,0.42,14662.0,United Kingdom
96093,544476,84991,60 TEATIME FAIRY CAKE CASES,1,21-02-2011 09:58,0.55,14796.0,United Kingdom
235487,557641,15056n,EDWARDIAN PARASOL NATURAL,1,21-06-2011 16:35,12.46,,United Kingdom
521613,580367,22150,3 STRIPEY MICE FELTCRAFT,1,02-12-2011 16:39,4.13,,United Kingdom
241232,558195,22385,JUMBO BAG SPACEBOY DESIGN,10,27-06-2011 12:32,2.08,17735.0,United Kingdom
39373,539639,21064,BOOM BOX SPEAKER BOYS,1,20-12-2010 15:26,5.95,14083.0,United Kingdom
145454,548893,85131B,BEADED CRYSTAL HEART GREEN ON STICK,1,04-04-2011 15:54,0.83,,United Kingdom
506209,579132,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,28-11-2011 12:35,4.25,15022.0,United Kingdom
371520,569220,23509,MINI PLAYING CARDS FUN FAIR ,2,02-10-2011 13:26,0.42,16007.0,United Kingdom
510943,579470,21874,GIN AND TONIC MUG,2,29-11-2011 15:06,1.65,16549.0,United Kingdom
291085,562427,84984B,RED PEONY CUSHION COVER ,2,04-08-2011 17:19,4.65,17267.0,United Kingdom
208213,555107,20711,JUMBO BAG TOYS ,20,31-05-2011 14:14,2.08,12594.0,Italy
468941,576560,23349,ROLL WRAP VINTAGE CHRISTMAS,1,15-11-2011 13:21,1.25,12877.0,United Kingdom
452379,575336,22092,BLUE PAISLEY TISSUE BOX,2,09-11-2011 13:58,0.39,14968.0,United Kingdom
185775,552826,22970,LONDON BUS COFFEE MUG,24,11-05-2011 13:20,2.55,14277.0,France
467598,576359,85099C,JUMBO  BAG BAROQUE BLACK WHITE,100,14-11-2011 16:59,1.79,14680.0,United Kingdom
499379,578666,22556,PLASTERS IN TIN CIRCUS PARADE ,12,24-11-2011 17:06,1.65,17727.0,United Kingdom
254281,559305,85017B,ENVELOPE 50 BLOSSOM IMAGES,6,07-07-2011 12:56,0.42,17892.0,United Kingdom
116863,546306,84796B,BLUE SAVANNAH PICNIC HAMPER FOR 2,1,10-03-2011 16:16,8.29,,United Kingdom
501764,578829,23441,HAND PAINTED HANGING EASTER EGG,10,25-11-2011 14:53,0.42,14710.0,United Kingdom
476600,577026,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,2,17-11-2011 12:55,3.25,17237.0,United Kingdom
327378,565664,21883,STARS GIFT TAPE ,12,05-09-2011 17:36,0.65,13211.0,United Kingdom
134872,547871,22556,PLASTERS IN TIN CIRCUS PARADE ,6,27-03-2011 14:28,1.65,16931.0,United Kingdom
521240,580322,22581,WOOD STOCKING CHRISTMAS SCANDISPOT,24,02-12-2011 15:48,0.29,17567.0,United Kingdom
37820,539484,22180,RETROSPOT LAMP,1,19-12-2010 15:44,9.95,15640.0,United Kingdom
281759,561600,22197,POPCORN HOLDER,4,28-07-2011 11:29,0.85,15861.0,United Kingdom
167527,550992,46000S,POLYESTER FILLER PAD 40x40cm,4,21-04-2011 19:05,1.45,14512.0,United Kingdom
230626,557211,22697,GREEN REGENCY TEACUP AND SAUCER,12,17-06-2011 11:49,2.95,15513.0,United Kingdom
319770,564896,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,12,31-08-2011 11:06,1.25,13726.0,United Kingdom
454049,575508,23256,CHILDRENS CUTLERY SPACEBOY ,72,10-11-2011 10:32,3.75,14646.0,Netherlands
147630,549126,22482,BLUE TEA TOWEL CLASSIC DESIGN,3,06-04-2011 14:23,1.25,16031.0,United Kingdom
6107,536876,85025B,EAU DE NILE HEART SHAPE PHOTO FRAME,1,03-12-2010 11:36,3.36,,United Kingdom
540014,581455,23542,WALL ART 70'S ALPHABET ,12,08-12-2011 18:25,6.67,18102.0,United Kingdom
52673,540813,22563,HAPPY STENCIL CRAFT,6,11-01-2011 12:41,1.25,14669.0,United Kingdom
33789,539294,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,1,16-12-2010 16:45,4.25,15532.0,United Kingdom
32443,539075,47559B,TEA TIME OVEN GLOVE,1,15-12-2010 17:28,1.25,17189.0,United Kingdom
445426,574839,23462,ROCOCO WALL MIRROR WHITE,1,07-11-2011 11:40,19.95,15493.0,United Kingdom
90356,543997,20986,BLUE CALCULATOR RULER,6,15-02-2011 10:49,1.25,17348.0,United Kingdom
257640,559538,22083,PAPER CHAIN KIT RETROSPOT,2,10-07-2011 12:25,2.95,16880.0,United Kingdom
417226,572652,22151,PLACE SETTING WHITE HEART,24,25-10-2011 12:11,0.42,15805.0,United Kingdom
211768,555397,22315,200 RED + WHITE BENDY STRAWS,1,02-06-2011 17:26,2.46,,United Kingdom
334757,566269,22309,TEA COSY RED  STRIPE,2,11-09-2011 13:39,2.55,17864.0,United Kingdom
203554,554520,22383,LUNCH BAG SUKI DESIGN ,1,24-05-2011 17:03,1.65,17841.0,United Kingdom
222830,556459,23152,IVORY SWEETHEART WIRE LETTER RACK ,1,10-06-2011 17:25,7.46,,United Kingdom
442430,574673,21875,KINGS CHOICE MUG,1,06-11-2011 12:26,1.25,15555.0,United Kingdom
173514,551717,85132A,CHARLIE + LOLA BISCUITS TINS,2,03-05-2011 15:59,1.95,13263.0,United Kingdom
461551,575946,22699,ROSES REGENCY TEACUP AND SAUCER ,24,13-11-2011 11:50,2.55,13892.0,United Kingdom
313287,564482,22792,FLUTED ANTIQUE CANDLE HOLDER,12,25-08-2011 13:40,0.85,13149.0,United Kingdom
253950,559204,20728,LUNCH BAG CARS BLUE,100,07-07-2011 11:02,1.45,13798.0,United Kingdom
411840,572235,23300,GARDENERS KNEELING PAD CUP OF TEA ,12,21-10-2011 14:42,1.65,16293.0,United Kingdom
249974,558991,18098C,PORCELAIN BUTTERFLY OIL BURNER,3,05-07-2011 11:32,2.95,14606.0,United Kingdom
177648,552166,84836,ZINC METAL HEART DECORATION,12,06-05-2011 12:21,1.25,13475.0,United Kingdom
143242,548670,84879,ASSORTED COLOUR BIRD ORNAMENT,6,01-04-2011 15:37,1.69,15356.0,United Kingdom
411949,572242,23564,EGG CUP MILKMAID INGRID,12,21-10-2011 15:36,1.25,15677.0,United Kingdom
327975,565741,71459,HANGING JAM JAR T-LIGHT HOLDERS,96,06-09-2011 12:32,0.72,15189.0,United Kingdom
155947,550034,22556,PLASTERS IN TIN CIRCUS PARADE ,12,14-04-2011 11:48,1.65,16187.0,United Kingdom
21942,538148,84968a,SET OF 16 VINTAGE ROSE CUTLERY,1,09-12-2010 16:26,25.49,,United Kingdom
485007,577549,23102,SILVER HEARTS TABLE DECORATION,1,20-11-2011 15:00,0.83,17841.0,United Kingdom
113790,545998,22843,BISCUIT TIN VINTAGE GREEN,2,08-03-2011 14:35,6.75,13373.0,United Kingdom
245921,558638,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,01-07-2011 08:16,4.95,16317.0,United Kingdom
116950,546315,22423,REGENCY CAKESTAND 3 TIER,1,11-03-2011 08:31,12.75,16558.0,United Kingdom
523112,580502,23489,VINTAGE BELLS GARLAND,2,04-12-2011 13:15,2.89,16931.0,United Kingdom
59130,541271,22722,SET OF 6 SPICE TINS PANTRY DESIGN,12,17-01-2011 11:12,3.95,12388.0,Australia
68505,541869,84913B,MINT GREEN ROSE TOWEL,2,24-01-2011 09:35,3.29,,United Kingdom
403698,571653,23530,WALL ART ONLY ONE PERSON ,6,18-10-2011 12:17,4.15,14298.0,United Kingdom
447726,574960,22865,HAND WARMER OWL DESIGN,12,08-11-2011 10:17,2.1,17091.0,United Kingdom
349251,567483,23181,BULL DOG BOTTLE TOP WALL CLOCK,2,20-09-2011 13:45,8.25,16584.0,United Kingdom
254284,559305,72811,SMALL ZINC/GLASS CANDLEHOLDER,6,07-07-2011 12:56,1.49,17892.0,United Kingdom
441784,574653,23308,SET OF 60 VINTAGE LEAF CAKE CASES ,48,06-11-2011 11:30,0.55,12619.0,Germany
279741,561363,20677,PINK POLKADOT BOWL,8,26-07-2011 15:42,1.25,17238.0,United Kingdom
87238,543646,22457,NATURAL SLATE HEART CHALKBOARD ,4,10-02-2011 19:44,2.95,17790.0,United Kingdom
248153,558777,20725,LUNCH BAG RED RETROSPOT,1,04-07-2011 10:23,4.13,,United Kingdom
95426,544456,85092,CANDY SPOT TEA COSY,24,20-02-2011 13:21,1.25,14803.0,United Kingdom
178419,552232,22676,FRENCH BLUE METAL DOOR SIGN 1,1,06-05-2011 15:54,2.46,,United Kingdom
323672,565326,21071,VINTAGE BILLBOARD DRINK ME MUG,1,02-09-2011 13:41,1.25,16706.0,United Kingdom
315480,564729,22907,PACK OF 20 NAPKINS PANTRY DESIGN,1,28-08-2011 12:44,0.85,13137.0,United Kingdom
536248,581219,23166,MEDIUM CERAMIC TOP STORAGE JAR,1,08-12-2011 09:28,2.46,,United Kingdom
117750,546406,21121,SET/10 RED POLKADOT PARTY CANDLES,1,11-03-2011 16:21,2.46,,United Kingdom
241751,558240,22457,NATURAL SLATE HEART CHALKBOARD ,1,27-06-2011 15:27,5.79,,United Kingdom
492681,578146,21770,OPEN CLOSED METAL SIGN,2,23-11-2011 11:07,4.95,13742.0,United Kingdom
518718,580115,16237,SLEEPING CAT ERASERS,2,01-12-2011 16:22,0.42,,United Kingdom
443395,574700,22152,PLACE SETTING WHITE STAR,24,06-11-2011 13:53,0.42,16033.0,United Kingdom
86089,543534,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,09-02-2011 13:25,0.55,13590.0,United Kingdom
204073,554630,21992,VINTAGE PAISLEY STATIONERY SET,1,25-05-2011 11:34,2.95,13268.0,United Kingdom
176530,552000,84970S,HANGING HEART ZINC T-LIGHT HOLDER,1,05-05-2011 15:56,2.08,,United Kingdom
312904,564378,23545,WRAP RED VINTAGE DOILY,50,25-08-2011 10:26,0.42,12417.0,Belgium
485360,577598,20668,DISCO BALL CHRISTMAS DECORATION,24,21-11-2011 08:19,0.12,13430.0,United Kingdom
324607,565410,22919,HERB MARKER MINT,12,04-09-2011 11:17,0.65,14691.0,United Kingdom
403426,571566,21535,RED RETROSPOT SMALL MILK JUG,6,18-10-2011 10:19,2.55,13594.0,United Kingdom
327537,565675,23065,LARGE DECO JEWELLERY STAND,24,06-09-2011 09:51,11.15,15513.0,United Kingdom
125614,547051,22191,IVORY DINER WALL CLOCK,2,20-03-2011 12:06,8.5,12902.0,United Kingdom
92414,544187,22969,HOMEMADE JAM SCENTED CANDLES,12,16-02-2011 16:31,1.45,14107.0,United Kingdom
449665,575138,22187,GREEN CHRISTMAS TREE CARD HOLDER,1,08-11-2011 15:24,8.29,,United Kingdom
160450,550458,84952B,BLACK LOVE BIRD T-LIGHT HOLDER,1,18-04-2011 13:13,7.46,,United Kingdom
71196,542112,22423,REGENCY CAKESTAND 3 TIER,2,25-01-2011 13:55,12.75,13168.0,United Kingdom
139121,548289,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,2,30-03-2011 11:48,9.95,13988.0,United Kingdom
149209,549281,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,07-04-2011 13:19,1.25,17735.0,United Kingdom
89762,543973,22697,GREEN REGENCY TEACUP AND SAUCER,2,14-02-2011 15:15,2.95,17571.0,United Kingdom
315554,564731,22904,CALENDAR PAPER CUT DESIGN,12,28-08-2011 12:57,2.95,16186.0,United Kingdom
338416,566557,22534,MAGIC DRAWING SLATE SPACEBOY ,192,13-09-2011 11:47,0.36,14646.0,Netherlands
294889,562725,22358,KINGS CHOICE TEA CADDY ,6,09-08-2011 09:04,2.95,17302.0,United Kingdom
519939,580188,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,6,02-12-2011 12:02,1.45,16440.0,United Kingdom
406328,571747,22141,CHRISTMAS CRAFT TREE TOP ANGEL,6,19-10-2011 10:59,2.1,13849.0,United Kingdom
133357,547785,20941,FROG CANDLE,2,25-03-2011 11:41,1.25,13097.0,United Kingdom
469494,576597,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,12,15-11-2011 14:57,2.95,14194.0,United Kingdom
367937,568912,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,4,29-09-2011 13:45,3.75,17528.0,United Kingdom
278721,561217,48184,DOORMAT ENGLISH ROSE ,1,25-07-2011 17:09,15.79,,United Kingdom
264698,560109,22846,BREAD BIN DINER STYLE RED ,1,15-07-2011 09:00,16.95,13491.0,United Kingdom
269157,560434,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,2,18-07-2011 15:56,2.46,,United Kingdom
379197,569677,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,24,05-10-2011 14:14,0.29,15106.0,United Kingdom
292192,562540,21790,VINTAGE SNAP CARDS,3,05-08-2011 15:38,0.85,17400.0,United Kingdom
137865,548169,22383,LUNCH BAG SUKI DESIGN ,100,29-03-2011 13:48,1.45,14680.0,United Kingdom
297946,562963,84976,RECTANGULAR SHAPED MIRROR,12,11-08-2011 10:29,0.79,13203.0,United Kingdom
60210,541421,22650,CERAMIC PIRATE CHEST MONEY BANK,1,17-01-2011 17:44,3.29,,United Kingdom
414532,572464,23194,GYMKHANA TREASURE BOOK BOX,1,24-10-2011 13:08,2.25,17081.0,United Kingdom
245564,558616,22192,BLUE DINER WALL CLOCK,2,30-06-2011 16:22,8.5,16045.0,United Kingdom
89002,543826,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1,14-02-2011 09:41,16.63,,United Kingdom
304771,563613,21243,PINK  POLKADOT PLATE ,24,18-08-2011 08:49,1.69,12688.0,Israel
415893,572550,22082,RIBBON REEL STRIPES DESIGN ,2,24-10-2011 17:06,3.29,,United Kingdom
135340,547892,21981,PACK OF 12 WOODLAND TISSUES ,24,28-03-2011 10:15,0.29,12669.0,France
143270,548670,21166,COOK WITH WINE METAL SIGN ,2,01-04-2011 15:37,2.08,15356.0,United Kingdom
306513,563764,21563,RED HEART SHAPE LOVE BUCKET ,2,19-08-2011 11:15,2.95,14606.0,United Kingdom
127737,547247,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4,22-03-2011 09:01,4.25,18225.0,United Kingdom
292034,562538,15058B,PINK POLKADOT GARDEN PARASOL,10,05-08-2011 15:07,6.75,15505.0,United Kingdom
74000,542398,90146,FINE SILVER NECKLACE W PASTEL FLOWE,2,27-01-2011 15:36,7.5,13174.0,United Kingdom
250123,559002,22421,LIPSTICK PEN FUSCHIA,100,05-07-2011 12:18,0.36,12971.0,United Kingdom
96705,544582,21703,BAG 125g SWIRLY MARBLES,12,21-02-2011 14:38,0.42,13410.0,United Kingdom
536329,581219,23339,EGG FRYING PAN BLUE ,2,08-12-2011 09:28,4.13,,United Kingdom
131818,547649,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,2,24-03-2011 12:02,1.45,18118.0,United Kingdom
183356,552659,22356,CHARLOTTE BAG PINK POLKADOT,30,10-05-2011 15:03,2.46,,United Kingdom
337649,566451,22092,BLUE PAISLEY TISSUE BOX,1,12-09-2011 16:14,0.39,18069.0,United Kingdom
56257,541103,22703,PINK CAT BOWL,6,13-01-2011 14:24,2.1,14215.0,United Kingdom
243131,558420,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,3,29-06-2011 11:46,2.08,14577.0,United Kingdom
213144,555523,22432,WATERING CAN PINK BUNNY,6,05-06-2011 11:36,1.95,12468.0,Germany
210209,555277,22499,WOODEN UNION JACK BUNTING,1,01-06-2011 17:30,12.46,,United Kingdom
108119,C545504,22224,WHITE LOVEBIRD LANTERN,-2,03-03-2011 11:35,2.95,13630.0,United Kingdom
497135,578347,84978,HANGING HEART JAR T-LIGHT HOLDER,3,24-11-2011 09:26,2.46,,United Kingdom
315834,564735,21931,JUMBO STORAGE BAG SUKI,1,28-08-2011 13:35,2.08,15856.0,United Kingdom
45183,540255,85202,HANGING WOOD AND FELT HEART,3,05-01-2011 16:50,0.43,,United Kingdom
194275,553566,23084,RABBIT NIGHT LIGHT,12,18-05-2011 09:09,2.08,12690.0,France
75635,542607,22227,HANGING HEART MIRROR DECORATION ,1,30-01-2011 13:48,0.65,13148.0,United Kingdom
319826,C564903,21906,PHARMACIE FIRST AID TIN,-1,31-08-2011 12:05,6.75,16984.0,United Kingdom
458523,575842,23215,JINGLE BELL HEART ANTIQUE SILVER,5,11-11-2011 12:01,2.08,15024.0,United Kingdom
261872,559893,21212,PACK OF 72 RETROSPOT CAKE CASES,2,13-07-2011 12:06,0.55,14498.0,United Kingdom
470977,576618,23370,SET 36 COLOURING PENCILS DOILY,1,15-11-2011 17:00,2.46,,United Kingdom
165873,550832,48194,DOORMAT HEARTS,10,21-04-2011 10:31,6.75,17588.0,United Kingdom
250910,559051,22820,GIFT BAG BIRTHDAY,5,05-07-2011 16:47,0.42,,United Kingdom
248079,558777,35923,CANDY HEART HANGING DECORATION,1,04-07-2011 10:23,0.83,,United Kingdom
25919,538419,21034,REX CASH+CARRY JUMBO SHOPPER,1,12-12-2010 12:01,0.95,16367.0,United Kingdom
170762,551340,35809A,ENAMEL PINK TEA CONTAINER,1,27-04-2011 17:23,2.46,,United Kingdom
451002,575177,23321,SMALL WHITE HEART OF WICKER,1,08-11-2011 18:41,3.29,,United Kingdom
140929,548491,10123C,HEARTS WRAPPING TAPE ,1,31-03-2011 13:14,0.65,14064.0,United Kingdom
68179,541855,22464,HANGING METAL HEART LANTERN,2,23-01-2011 14:59,1.65,13742.0,United Kingdom
341566,566759,21174,POTTERING IN THE SHED METAL SIGN,12,14-09-2011 16:29,2.08,16210.0,United Kingdom
372369,569239,22417,PACK OF 60 SPACEBOY CAKE CASES,24,03-10-2011 08:30,0.55,14644.0,United Kingdom
174093,551747,79063C,"RETRO PILL BOX KEY CHAIN,THE KING",100,04-05-2011 11:00,0.18,14298.0,United Kingdom
117621,546394,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,11-03-2011 14:26,1.25,17164.0,United Kingdom
223404,556483,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,8,12-06-2011 13:12,0.65,14823.0,United Kingdom
84904,543450,22196,SMALL HEART MEASURING SPOONS,3,08-02-2011 12:12,1.63,,United Kingdom
65016,541684,47599A,PINK PARTY BAGS,6,20-01-2011 15:22,2.1,15498.0,United Kingdom
331677,566025,47563A,RETRO LONGBOARD IRONING BOARD COVER,3,08-09-2011 12:55,1.25,17634.0,United Kingdom
451143,575179,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,09-11-2011 08:11,4.25,14284.0,United Kingdom
98781,544684,21509,COWBOYS AND INDIANS BIRTHDAY CARD ,2,22-02-2011 16:32,0.83,,United Kingdom
396188,571058,22423,REGENCY CAKESTAND 3 TIER,16,13-10-2011 14:18,10.95,13853.0,United Kingdom
138783,548212,22423,REGENCY CAKESTAND 3 TIER,4,30-03-2011 09:12,12.75,12456.0,Switzerland
485622,577613,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12,21-11-2011 10:02,0.85,14911.0,EIRE
260543,559816,20723,STRAWBERRY CHARLOTTE BAG,1,12-07-2011 16:11,1.63,,United Kingdom
32589,539094,22835,HOT WATER BOTTLE I AM SO POORLY,4,16-12-2010 10:12,4.65,13021.0,United Kingdom
229324,557027,22191,IVORY DINER WALL CLOCK,2,16-06-2011 13:24,8.5,12816.0,Poland
448949,575075,23356,LOVE HOT WATER BOTTLE,2,08-11-2011 13:19,5.95,13975.0,United Kingdom
26415,538511,22348,TEA BAG PLATE RED RETROSPOT,10,12-12-2010 13:56,0.85,13959.0,United Kingdom
27020,538524,22419,LIPSTICK PEN RED,3,13-12-2010 09:35,0.85,,United Kingdom
306339,563748,22974,CHILDRENS DOLLY GIRL MUG,12,19-08-2011 10:06,1.65,16170.0,United Kingdom
205732,554832,71459,HANGING JAM JAR T-LIGHT HOLDER,12,26-05-2011 15:30,0.85,16092.0,United Kingdom
338176,566495,22818,CARD CHRISTMAS VILLAGE,24,13-09-2011 11:14,0.42,15529.0,United Kingdom
26821,538524,21028,NINJA RABBIT BLACK,1,13-12-2010 09:35,2.51,,United Kingdom
291263,562444,21033,JUMBO BAG CHARLIE AND LOLA TOYS,2,04-08-2011 18:44,2.08,14713.0,United Kingdom
6649,536973,82552,WASHROOM METAL SIGN,6,03-12-2010 13:43,1.45,17787.0,United Kingdom
403581,571641,22065,CHRISTMAS PUDDING TRINKET POT ,96,18-10-2011 12:07,0.39,17135.0,United Kingdom
58777,541262,22148,EASTER CRAFT 4 CHICKS ,2,16-01-2011 15:50,1.95,18069.0,United Kingdom
287847,562114,22670,FRENCH WC SIGN BLUE METAL,2,02-08-2011 16:14,2.46,,United Kingdom
302434,563430,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,8,16-08-2011 11:50,4.95,14918.0,United Kingdom
106826,545345,22487,WHITE WOOD GARDEN PLANT LADDER,1,02-03-2011 09:33,9.95,14180.0,United Kingdom
361247,568342,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2,26-09-2011 15:10,7.95,14473.0,United Kingdom
541112,581492,23194,GYMKHANA TREASURE BOOK BOX,1,09-12-2011 10:03,4.58,,United Kingdom
162679,550513,72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,1,18-04-2011 16:37,4.25,16928.0,United Kingdom
433419,573915,23490,T-LIGHT HOLDER HANGING LOVE BIRD,2,01-11-2011 15:55,3.75,15511.0,United Kingdom
32873,539196,35651,VINTAGE BEAD PINK SCARF ,2,16-12-2010 12:09,7.95,18055.0,United Kingdom
391659,570674,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,24,11-10-2011 14:59,0.29,14911.0,EIRE
218879,556079,23209,LUNCH BAG DOILEY PATTERN ,10,08-06-2011 15:18,1.65,18229.0,United Kingdom
372715,569246,23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,5,03-10-2011 09:57,2.92,14096.0,United Kingdom
459880,575886,21175,GIN + TONIC DIET METAL SIGN,2,11-11-2011 13:57,2.55,12517.0,Germany
34381,539338,22489,PACK OF 12 TRADITIONAL CRAYONS,144,17-12-2010 10:54,0.42,17404.0,Sweden
60763,541422,22643,SET OF 4 NAPKIN CHARMS LEAVES   ,2,17-01-2011 17:48,1.63,,United Kingdom
270717,560580,23134,LARGE ZINC HEART WALL ORGANISER,6,19-07-2011 15:23,7.05,14088.0,United Kingdom
175591,551967,22855,FINE WICKER HEART ,12,05-05-2011 13:19,1.25,16457.0,United Kingdom
